#a1 a2 eps sig(A)
#B0T B0G 1.7 3.6
B05Ta B0aGa 1.7 3.6
B05Ta B0aGu 1.7 3.6
B05Ta B0aGg 1.7 3.6
B05Ta B0aGc 1.7 3.6
B05Ta B0aGt 1.7 3.6
B05Ta B0aG3 1.7 3.6
B05Ta B0uGa 1.7 3.6
B05Ta B0uGu 1.7 3.6
B05Ta B0uGg 1.7 3.6
B05Ta B0uGc 1.7 3.6
B05Ta B0uGt 1.7 3.6
B05Ta B0uG3 1.7 3.6
B05Ta B0gGa 1.7 3.6
B05Ta B0gGu 1.7 3.6
B05Ta B0gGg 1.7 3.6
B05Ta B0gGc 1.7 3.6
B05Ta B0gGt 1.7 3.6
B05Ta B0gG3 1.7 3.6
B05Ta B0cGa 1.7 3.6
B05Ta B0cGu 1.7 3.6
B05Ta B0cGg 1.7 3.6
B05Ta B0cGc 1.7 3.6
B05Ta B0cGt 1.7 3.6
B05Ta B0cG3 1.7 3.6
B05Ta B0tGa 1.7 3.6
B05Ta B0tGu 1.7 3.6
B05Ta B0tGg 1.7 3.6
B05Ta B0tGc 1.7 3.6
B05Ta B0tGt 1.7 3.6
B05Ta B0tG3 1.7 3.6
B05Tu B0aGa 1.7 3.6
B05Tu B0aGu 1.7 3.6
B05Tu B0aGg 1.7 3.6
B05Tu B0aGc 1.7 3.6
B05Tu B0aGt 1.7 3.6
B05Tu B0aG3 1.7 3.6
B05Tu B0uGa 1.7 3.6
B05Tu B0uGu 1.7 3.6
B05Tu B0uGg 1.7 3.6
B05Tu B0uGc 1.7 3.6
B05Tu B0uGt 1.7 3.6
B05Tu B0uG3 1.7 3.6
B05Tu B0gGa 1.7 3.6
B05Tu B0gGu 1.7 3.6
B05Tu B0gGg 1.7 3.6
B05Tu B0gGc 1.7 3.6
B05Tu B0gGt 1.7 3.6
B05Tu B0gG3 1.7 3.6
B05Tu B0cGa 1.7 3.6
B05Tu B0cGu 1.7 3.6
B05Tu B0cGg 1.7 3.6
B05Tu B0cGc 1.7 3.6
B05Tu B0cGt 1.7 3.6
B05Tu B0cG3 1.7 3.6
