#a1 a2 eps sig(A)
#S05Aa S0uUa 1.00 14.00
S05Aa B0uUa 1.00 10.00
B05Aa S0uUa 1.00 10.00
B05Aa B0uUa 1.00  6.00
#S05Aa S0uUu 1.00 14.00
S05Aa B0uUu 1.00 10.00
B05Aa S0uUu 1.00 10.00
B05Aa B0uUu 1.00  6.00
#S05Aa S0uUg 1.00 14.00
S05Aa B0uUg 1.00 10.00
B05Aa S0uUg 1.00 10.00
B05Aa B0uUg 1.00  6.00
#S05Aa S0uUc 1.00 14.00
S05Aa B0uUc 1.00 10.00
B05Aa S0uUc 1.00 10.00
B05Aa B0uUc 1.00  6.00
#S05Aa S0uUt 1.00 14.00
S05Aa B0uUt 1.00 10.00
B05Aa S0uUt 1.00 10.00
B05Aa B0uUt 1.00  6.00
#S05Aa S0uU3 1.00 14.00
S05Aa B0uU3 1.00 10.00
B05Aa S0uU3 1.00 10.00
B05Aa B0uU3 1.00  6.00
#S05Aa S0tUa 1.00 14.00
S05Aa B0tUa 1.00 10.00
B05Aa S0tUa 1.00 10.00
B05Aa B0tUa 1.00  6.00
#S05Aa S0tUu 1.00 14.00
S05Aa B0tUu 1.00 10.00
B05Aa S0tUu 1.00 10.00
B05Aa B0tUu 1.00  6.00
#S05Aa S0tUg 1.00 14.00
S05Aa B0tUg 1.00 10.00
B05Aa S0tUg 1.00 10.00
B05Aa B0tUg 1.00  6.00
#S05Aa S0tUc 1.00 14.00
S05Aa B0tUc 1.00 10.00
B05Aa S0tUc 1.00 10.00
B05Aa B0tUc 1.00  6.00
#S05Aa S0tUt 1.00 14.00
S05Aa B0tUt 1.00 10.00
B05Aa S0tUt 1.00 10.00
B05Aa B0tUt 1.00  6.00
#S05Aa S0tU3 1.00 14.00
S05Aa B0tU3 1.00 10.00
B05Aa S0tU3 1.00 10.00
B05Aa B0tU3 1.00  6.00
#S05Au S0aUa 1.00 14.00
S05Au B0aUa 1.00 10.00
B05Au S0aUa 1.00 10.00
B05Au B0aUa 1.00  6.00
#S05Au S0aUu 1.00 14.00
S05Au B0aUu 1.00 10.00
B05Au S0aUu 1.00 10.00
