#a1 a2 eps sig(A)
#B0T CBW 4.3 3.6
B05Ta CBW 4.3 3.6
B05Tu CBW 4.3 3.6
B05Tg CBW 4.3 3.6
B05Tc CBW 4.3 3.6
B05Tt CBW 4.3 3.6
B05T3 CBW 4.3 3.6
B0aTa CBW 4.3 3.6
B0aTu CBW 4.3 3.6
B0aTg CBW 4.3 3.6
B0aTc CBW 4.3 3.6
B0aTt CBW 4.3 3.6
B0aT3 CBW 4.3 3.6
B0uTa CBW 4.3 3.6
B0uTu CBW 4.3 3.6
B0uTg CBW 4.3 3.6
B0uTc CBW 4.3 3.6
B0uTt CBW 4.3 3.6
B0uT3 CBW 4.3 3.6
B0gTa CBW 4.3 3.6
B0gTu CBW 4.3 3.6
B0gTg CBW 4.3 3.6
B0gTc CBW 4.3 3.6
B0gTt CBW 4.3 3.6
B0gT3 CBW 4.3 3.6
B0cTa CBW 4.3 3.6
B0cTu CBW 4.3 3.6
B0cTg CBW 4.3 3.6
B0cTc CBW 4.3 3.6
B0cTt CBW 4.3 3.6
B0cT3 CBW 4.3 3.6
B0tTa CBW 4.3 3.6
B0tTu CBW 4.3 3.6
B0tTg CBW 4.3 3.6
B0tTc CBW 4.3 3.6
B0tTt CBW 4.3 3.6
B0tT3 CBW 4.3 3.6
#B0T CBY 2.3 3.6
B05Ta CBY 2.3 3.6
B05Tu CBY 2.3 3.6
B05Tg CBY 2.3 3.6
B05Tc CBY 2.3 3.6
B05Tt CBY 2.3 3.6
B05T3 CBY 2.3 3.6
B0aTa CBY 2.3 3.6
B0aTu CBY 2.3 3.6
B0aTg CBY 2.3 3.6
B0aTc CBY 2.3 3.6
B0aTt CBY 2.3 3.6
B0aT3 CBY 2.3 3.6
B0uTa CBY 2.3 3.6
B0uTu CBY 2.3 3.6
B0uTg CBY 2.3 3.6
B0uTc CBY 2.3 3.6
B0uTt CBY 2.3 3.6
B0uT3 CBY 2.3 3.6
B0gTa CBY 2.3 3.6
B0gTu CBY 2.3 3.6
B0gTg CBY 2.3 3.6
B0gTc CBY 2.3 3.6
B0gTt CBY 2.3 3.6
B0gT3 CBY 2.3 3.6
B0cTa CBY 2.3 3.6
B0cTu CBY 2.3 3.6
B0cTg CBY 2.3 3.6
B0cTc CBY 2.3 3.6
B0cTt CBY 2.3 3.6
B0cT3 CBY 2.3 3.6
B0tTa CBY 2.3 3.6
B0tTu CBY 2.3 3.6
B0tTg CBY 2.3 3.6
B0tTc CBY 2.3 3.6
B0tTt CBY 2.3 3.6
B0tT3 CBY 2.3 3.6
#B0T CBF 2.8 3.6
B05Ta CBF 2.8 3.6
B05Tu CBF 2.8 3.6
B05Tg CBF 2.8 3.6
B05Tc CBF 2.8 3.6
B05Tt CBF 2.8 3.6
B05T3 CBF 2.8 3.6
B0aTa CBF 2.8 3.6
B0aTu CBF 2.8 3.6
B0aTg CBF 2.8 3.6
B0aTc CBF 2.8 3.6
B0aTt CBF 2.8 3.6
B0aT3 CBF 2.8 3.6
B0uTa CBF 2.8 3.6
B0uTu CBF 2.8 3.6
